petal_length,petal_width,label,species,split,is_noise
3.693,0.67,1,Versicolor,train,False
1.365,0.186,0,Setosa,train,False
1.606,0.031,0,Setosa,train,False
4.593,1.704,1,Versicolor,train,False
4.615,1.802,2,Virginica,train,False
5.526,1.518,2,Virginica,train,False
4.693,1.551,2,Virginica,train,False
1.396,0.061,0,Setosa,train,False
1.503,0.259,0,Setosa,train,False
1.678,0.465,0,Setosa,train,False
4.6,1.624,1,Versicolor,train,False
3.818,1.543,2,Virginica,train,False
5.996,2.087,2,Virginica,train,False
4.274,0.763,1,Versicolor,train,False
4.803,1.343,1,Versicolor,train,False
5.821,1.937,2,Virginica,train,False
4.636,1.196,1,Versicolor,train,False
5.138,2.454,2,Virginica,train,False
4.984,2.455,2,Virginica,train,False
1.363,0.149,0,Setosa,train,False
1.323,0.411,0,Setosa,train,False
4.147,0.952,1,Versicolor,train,False
5.363,0.944,1,Versicolor,train,False
5.219,2.192,2,Virginica,train,False
1.605,0.168,0,Setosa,train,False
1.719,0.259,0,Setosa,train,False
1.674,0.302,0,Setosa,train,False
4.596,1.739,1,Versicolor,train,False
5.915,1.617,2,Virginica,train,False
4.762,1.378,1,Versicolor,train,False
4.985,1.96,2,Virginica,train,False
4.897,1.846,2,Virginica,train,False
4.408,1.381,1,Versicolor,train,False
4.496,1.824,1,Versicolor,train,False
4.603,1.901,2,Virginica,train,False
4.427,1.411,1,Versicolor,train,False
5.5,1.52,2,Virginica,train,False
5.293,1.718,2,Virginica,train,False
1.353,0.407,0,Setosa,train,False
1.426,0.098,0,Setosa,train,False
4.792,1.554,2,Virginica,train,False
1.283,0.15,0,Setosa,train,False
4.598,1.882,1,Versicolor,train,False
5.311,1.774,2,Virginica,train,False
5.795,1.773,2,Virginica,train,False
4.827,1.768,2,Virginica,train,False
3.885,1.847,1,Versicolor,train,False
3.635,1.597,2,Virginica,train,False
3.144,1.83,1,Versicolor,train,False
4.38,1.266,1,Versicolor,train,False
5.377,2.215,2,Virginica,train,False
5.031,2.071,2,Virginica,train,True
4.955,1.595,1,Versicolor,train,True
4.671,1.962,0,Setosa,train,True
4.351,1.586,1,Versicolor,train,True
5.472,1.206,1,Versicolor,train,True
4.87,2.233,2,Virginica,train,True
5.941,1.835,1,Versicolor,train,True
4.095,1.279,0,Setosa,train,True
5.924,1.775,2,Virginica,train,True
4.203,1.273,2,Virginica,train,True
1.458,0.296,0,Setosa,test,False
1.331,0.355,0,Setosa,test,False
5.829,0.927,2,Virginica,test,False
4.98,1.464,2,Virginica,test,False
6.052,1.608,2,Virginica,test,False
1.403,0.395,0,Setosa,test,False
4.148,1.624,1,Versicolor,test,False
5.356,2.044,2,Virginica,test,False
3.895,1.278,1,Versicolor,test,False
4.679,0.727,1,Versicolor,test,False
5.317,1.277,2,Virginica,test,False
1.423,0.35,0,Setosa,test,False
1.572,0.12,0,Setosa,test,False
4.498,1.826,1,Versicolor,test,False
1.384,0.146,0,Setosa,test,False
4.979,1.77,2,Virginica,test,False
6.074,1.971,2,Virginica,test,False
4.797,1.304,1,Versicolor,test,False
1.58,0.254,0,Setosa,test,False
4.223,1.277,1,Versicolor,test,False
4.012,1.196,1,Versicolor,test,False
4.06,1.208,1,Versicolor,test,False
4.696,1.159,1,Versicolor,test,False
5.044,1.924,2,Virginica,test,False
3.645,1.367,1,Versicolor,test,False
1.586,0.021,0,Setosa,test,False
5.507,1.891,2,Virginica,test,False
6.099,2.306,2,Virginica,test,False
5.496,2.075,2,Virginica,test,False
4.52,1.285,1,Versicolor,test,False
4.982,2.466,2,Virginica,test,False
1.607,0.305,0,Setosa,test,False
1.598,0.437,0,Setosa,test,False
4.261,1.301,1,Versicolor,test,False
3.411,1.551,1,Versicolor,test,False
5.527,2.146,2,Virginica,test,False
5.316,1.98,2,Virginica,test,False
5.262,1.384,1,Versicolor,test,False
1.523,0.155,0,Setosa,test,False
3.795,0.871,1,Versicolor,test,False
1.775,0.321,0,Setosa,test,False
1.454,0.294,0,Setosa,test,False
1.248,0.355,0,Setosa,test,False
1.478,0.234,0,Setosa,test,False
5.125,2.416,2,Virginica,test,False
4.869,1.796,2,Virginica,test,False
4.37,1.436,1,Versicolor,test,False
5.149,1.34,2,Virginica,test,False
1.424,0.472,0,Setosa,test,False
5.194,1.087,1,Versicolor,test,False
